market,corrs,vols,mids,dates
Maniema_SKivu,0.036930572,0.075597508,2,8/31/2022
Maniema_SKivu,0.044294601,0.07773342,2,9/7/2022
Maniema_SKivu,0.05841829,0.07773342,2,9/14/2022
Maniema_SKivu,0.026091346,0.078605075,2,9/21/2022
Maniema_SKivu,0.010336009,0.075025644,2,9/28/2022
Maniema_SKivu,-0.17809135,0.074878525,2,10/5/2022
Maniema_SKivu,-0.206363483,0.037601301,2,10/12/2022
Maniema_SKivu,-0.207058568,0.039405236,2,10/19/2022
Maniema_SKivu,-0.017852948,0.04193896,2,10/26/2022
Maniema_SKivu,-0.022933336,0.04193896,2,11/2/2022
Maniema_SKivu,0.512975695,0.04193896,2,11/9/2022
Maniema_SKivu,0.716812856,0.04193896,2,11/16/2022
Maniema_SKivu,0.694294162,0.034659477,2,11/23/2022
Maniema_SKivu,0.516719358,0.020047193,2,11/30/2022
SKivu_NKivu,0.299861618,0.201635661,3,6/30/2020
SKivu_NKivu,0.290845487,0.236891893,3,7/31/2020
SKivu_NKivu,0.460824877,0.268209076,3,8/31/2020
SKivu_NKivu,0.499843459,0.274066526,3,9/2/2020
SKivu_NKivu,0.502878804,0.274066526,3,9/9/2020
SKivu_NKivu,0.517575768,0.274066526,3,9/16/2020
SKivu_NKivu,0.516757258,0.274438853,3,9/23/2020
SKivu_NKivu,0.506740286,0.28318416,3,10/7/2020
SKivu_NKivu,0.508234128,0.28208042,3,10/14/2020
SKivu_NKivu,0.566899469,0.281478885,3,10/21/2020
SKivu_NKivu,0.610319122,0.27979093,3,10/28/2020
SKivu_NKivu,0.609852158,0.279684695,3,11/4/2020
SKivu_NKivu,0.701861342,0.198758508,3,11/11/2020
SKivu_NKivu,0.847237059,0.15917015,3,11/18/2020
SKivu_NKivu,0.486835522,0.061992162,3,11/25/2020
SKivu_NKivu,-0.981858643,0.054018608,3,12/2/2020
SKivu_NKivu,0.478859504,0.062178942,3,12/9/2020
SKivu_NKivu,0.478859504,0.062178942,3,12/16/2020
SKivu_NKivu,0.489346427,0.063989825,3,12/23/2020
SKivu_NKivu,0.808703194,0.034363839,3,12/30/2020
SKivu_NKivu,0.705131076,0.037284029,3,1/6/2021
SKivu_NKivu,0.705131076,0.037284029,3,1/13/2021
SKivu_NKivu,0.557439606,0.052707287,3,1/20/2021
SKivu_NKivu,0.587849294,0.051571307,3,1/27/2021
SKivu_NKivu,0.646980452,0.0546237,3,2/3/2021
SKivu_NKivu,0.540064936,0.0546237,3,2/10/2021
SKivu_NKivu,0.47330107,0.0546237,3,2/17/2021
SKivu_NKivu,0.418421479,0.0546237,3,2/24/2021
SKivu_NKivu,0.110999674,0.044519786,3,3/3/2021
SKivu_NKivu,0.110999674,0.044519786,3,3/10/2021
SKivu_NKivu,0.152966729,0.042639773,3,3/17/2021
SKivu_NKivu,0.15099173,0.043636804,3,3/24/2021
SKivu_NKivu,0.056997278,0.041997423,3,3/31/2021
SKivu_NKivu,0.056997278,0.041997423,3,4/7/2021
SKivu_NKivu,0.139095295,0.02688659,3,4/14/2021
SKivu_NKivu,0.139095295,0.02688659,3,4/21/2021
SKivu_NKivu,-0.11782334,0.019385232,3,4/28/2021
